fullName,electionsName,registrationDocumentDate,registrationDocumentId,birthDate,birthPlace,nationality,residencePeriod,education,occupation,party,residencePlace,nominatedBy,assetsDeclarationUrl
Добродомов Дмитро Євгенович,presidential2019,25.01.2019,108,13.01.1977,м. Львів,громадянин України,проживає в Україні протягом останніх десяти років до дня виборів,вища,"народний депутат України, секретар Комітету Верховної Ради України з питань запобігання і протидії корупції","член ПОЛІТИЧНОЇ ПАРТІЇ ""ГРОМАДСЬКИЙ РУХ ""НАРОДНИЙ КОНТРОЛЬ""",проживає в місті Львові,"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКИЙ РУХ ""НАРОДНИЙ КОНТРОЛЬ""",https://public.nazk.gov.ua/declaration/e6b5705c-0c7e-4cf9-9f41-70c43efa2066
Журавльов Василь Миколайович,presidential2019,06.02.2019,231,05.04.1970,сел. Старий Крим міста Маріуполя Донецької області,громадянин України,проживає в Україні протягом останніх десяти років до дня виборів,вища,"Голова, ГРОМАДСЬКА ОРГАНІЗАЦІЯ ""ФЕДЕРАЦІЯ ФУТБОЛУ М. МАРІУПОЛЯ""","член Політичної партії ""СТАБІЛЬНІСТЬ""",проживає в смт Старий Крим міста Маріуполь Донецької області,"Політична партія ""СТАБІЛЬНІСТЬ""",https://public.nazk.gov.ua/declaration/ca4f9ccf-047d-46d6-952e-1927ea8b902e
Зеленський Володимир Олександрович,presidential2019,30.01.2019,153,25.01.1978,м. Кривий Ріг Дніпропетровської області,громадянин України,проживає в Україні протягом останніх десяти років до дня виборів,вища,"художній керівник, ТОВ ""Квартал 95""",безпартійний,проживає в місті Києві,"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",https://public.nazk.gov.ua/declaration/98a80581-f9af-40ec-95c7-9283b69f9b4e
Каплін Сергій Миколайович,presidential2019,08.01.2019,29,15.12.1979,с. Опришки Глобинського району Полтавської області,громадянин України,проживає в Україні протягом останніх десяти років до дня виборів,вища,народний депутат України,безпартійний,проживає в селі Опришки Глобинського району Полтавської області,"ПОЛІТИЧНА ПАРТІЯ ""СОЦІАЛ-ДЕМОКРАТИЧНА ПАРТІЯ""",https://public.nazk.gov.ua/declaration/58fed8a0-0b24-4e5b-b8cd-d3bf2a852f45
Кармазін Юрій Анатолійович,presidential2019,07.02.2019,254,21.09.1957,м. Звенигородка Черкаської області,громадянин України,проживає в Україні протягом останніх десяти років до дня виборів,вища,"Президент, Громадська організація ""ІНСТИТУТ ПРАВА І СУСПІЛЬСТВА""",член Партії захисників Вітчизни,проживає в місті Києві,cамовисування,https://public.nazk.gov.ua/declaration/cdb758e8-e54d-48b4-9f0f-2e500a78b4fd
Кива Ілля Володимирович,presidential2019,25.01.2019,126,02.06.1977,м. Полтава,громадянин України,проживає в Україні протягом останніх десяти років до дня виборів,вища,"Голова, Всеукраїнська професійна спілка Міністерства внутрішніх справ України",член Соціалістичної партії України,проживає в місті Києві,Соціалістична партія України,https://public.nazk.gov.ua/declaration/cb24d4ad-5ad2-4474-97df-5a05c3cd01b2
Корнацький Аркадій Олексійович,presidential2019,25.01.2019,101,07.07.1953,с.Чаусово-2 Первомайського району Миколаївської області,громадянин України,проживає в Україні протягом останніх десяти років до дня виборів,вища,народний депутат України,безпартійний,проживає в селі Чаусове Друге Первомайського району Миколаївської області,cамовисування,https://public.nazk.gov.ua/declaration/bed5d66a-661b-4bf4-bb34-50cf3885fb33
Кошулинський Руслан Володимирович,presidential2019,28.01.2019,127,09.09.1969,м. Львів,громадянин України,проживає в Україні протягом останніх десяти років до дня виборів,вища,"Голова Секретаріату, політична партія Всеукраїнське об'єднання ""Свобода""","член політичної партії Всеукраїнське об’єднання ""Свобода""",проживає в місті Львові,"політична партія Всеукраїнське об’єднання ""Свобода""",https://public.nazk.gov.ua/declaration/da776581-9f25-4810-9a68-42a2046797b1
Кривенко Віктор Миколайович,presidential2019,05.02.2019,214,09.01.1982,м. Дніпродзержинськ Дніпропетровської області,громадянин України,проживає в Україні протягом останніх десяти років до дня виборів,вища,"народний депутат України, заступник голови Комітету Верховної Ради України з питань бюджету","член Політичної партії ""Народний Рух України""",проживає в смт Курилівка Петриківського району Дніпропетровської області,"Політична партія ""Народний Рух України""",https://public.nazk.gov.ua/declaration/800c102c-1f3e-4444-96b2-09bdc5a213b5
Кривонос Сергій Григорович,presidential2019,05.02.2019,215,26.07.1970,м. Кременчук Полтавської області,громадянин України,проживає в Україні протягом останніх десяти років до дня виборів,вища,"перший заступник командувача, Сили спеціальних операцій Збройних Сил України",безпартійний,проживає в місті Києві,"ПОЛІТИЧНА ПАРТІЯ ""ВОЇНИ АТО""",https://public.nazk.gov.ua/declaration/8bda1af1-60f6-4ec8-906e-05fc6484e102
Купрій Віталій Миколайович,presidential2019,15.01.2019,63,20.08.1973,м. Дніпродзержинськ Дніпропетровської області,громадянин України,проживає в Україні протягом останніх десяти років до дня виборів,вища,"народний депутат України, заступник голови Комітету Верховної Ради України з питань законодавчого забезпечення правоохоронної діяльності",безпартійний,проживає в місті Києві,cамовисування,https://public.nazk.gov.ua/declaration/295e9fc7-91ab-41cf-b1e2-91a327abf859
Литвиненко Юлія Леонідівна,presidential2019,07.02.2019,255,07.11.1976,м. Кривий Ріг Дніпропетровської області,,,вища,тимчасово не працює,безпартійна,проживає в місті Києві,cамовисування,https://public.nazk.gov.ua/declaration/dbd8bfcb-a9d1-43e2-945a-83acb36cfcf9
Ляшко Олег Валерійович,presidential2019,25.01.2019,99,03.12.1972,Чернігів,громадянин України,проживає в Україні протягом останніх десяти років до дня виборів,вища,"народний депутат України, Голова депутатської фракції Радикальної партії Олега Ляшка, член Комітету Верховної Ради України з питань податкової та митної політики","член Політичної партії ""Радикальна партія Олега Ляшка""",проживає в місті Києві,"Політична партія ""Радикальна партія Олега Ляшка""",https://public.nazk.gov.ua/declaration/dd8da544-10d9-4417-8838-be8568d299b6
Мороз Олександр Олександрович,presidential2019,25.01.2019,110,29.02.1944,с. Буда Таращанського району Київської області,громадянин України,проживає в Україні протягом останніх десяти років до дня виборів,вища,пенсіонер,"член ПОЛІТИЧНОЇ ПАРТІЇ ""СОЦІАЛІСТИЧНА ПАРТІЯ ОЛЕКСАНДРА МОРОЗА""",проживає в місті Києві,"ПОЛІТИЧНА ПАРТІЯ ""СОЦІАЛІСТИЧНА ПАРТІЯ ОЛЕКСАНДРА МОРОЗА""",https://public.nazk.gov.ua/declaration/3ad38687-70d1-4150-aa06-3c06b06c7aa6
Мураєв Євгеній Володимирович,presidential2019,15.01.2019,61,02.12.1976,м. Зміїв Харківської області,громадянин України,проживає в Україні протягом останніх десяти років до дня виборів,вища,народний депутат України,"член ПОЛІТИЧНОЇ ПАРТІЇ ""НАШІ""",проживає в місті Харкові,"ПОЛІТИЧНА ПАРТІЯ ""НАШІ""",https://public.nazk.gov.ua/declaration/19687dbf-4c4a-4d3e-b6b6-9911b5fceaf7
Наливайченко Валентин Олександрович,presidential2019,08.01.2019,30,08.06.1966,м. Запоріжжя,громадянин України,проживає в Україні протягом останніх десяти років до дня виборів,вища,"Голова ПОЛІТИЧНОЇ ПАРТІЇ ""ГРОМАДСЬКО-ПОЛІТИЧНИЙ РУХ ВАЛЕНТИНА НАЛИВАЙЧЕНКА ""СПРАВЕДЛИВІСТЬ""","член ПОЛІТИЧНОЇ ПАРТІЇ ""ГРОМАДСЬКО-ПОЛІТИЧНИЙ РУХ ВАЛЕНТИНА НАЛИВАЙЧЕНКА ""СПРАВЕДЛИВІСТЬ""",проживає в місті Києві,"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКО-ПОЛІТИЧНИЙ РУХ ВАЛЕНТИНА НАЛИВАЙЧЕНКА ""СПРАВЕДЛИВІСТЬ""",https://public.nazk.gov.ua/declaration/2e441c05-ade6-4968-8f5d-fbca43fe84aa
Насіров Роман Михайлович,presidential2019,21.01.2019,86,03.03.1979,м. Чернігів,громадянин України,проживає в Україні протягом останніх десяти років до дня виборів,вища,,безпартійний,проживає в місті Києві,cамовисування,https://public.nazk.gov.ua/declaration/f580a34e-9dad-4018-af2b-1022c16bfb8a
Новак Андрій Яремович,presidential2019,06.02.2019,230,24.01.1973,м. Коломия Івано-Франківської області,громадянин України,проживає в Україні протягом останніх десяти років до дня виборів,вища,тимчасово не працює,"член Політичної партії ""ПАТРІОТ""",проживає в місті Коломия Івано-Франківської області,"Політична партія ""ПАТРІОТ""",https://public.nazk.gov.ua/declaration/f650a829-dfa0-45e2-bea9-75387b6f2f65
Носенко Сергій Михайлович,presidential2019,05.02.2019,213,28.09.1969,м. Київ,громадянин України,проживає в Україні протягом останніх десяти років до дня виборів,вища,"Старший керуючий директор, ТОВ ""Інтернешнл Інвестмент Партнерс Україна""",безпартійний,проживає в місті Києві,cамовисування,https://public.nazk.gov.ua/declaration/dc9c1595-5cc7-4156-8d1e-b80b4d00aee4
Петров Володимир Володимирович,presidential2019,07.02.2019,265,20.11.1977,м. Дніпропетровськ,громадянин України,проживає в Україні протягом останніх десяти років до дня виборів,вища,"продюсер, ТОВ ""ЛЮМПЕН ПРОДАКШН""",безпартійний,проживає в місті Києві,cамовисування,https://public.nazk.gov.ua/declaration/6bda3b00-f8d7-458f-99f2-1a3399ce6b4e
Порошенко Петро Олексійович,presidential2019,07.02.2019,253,26.09.1965,м. Болград Одеської області,громадянин України,проживає в Україні протягом останніх десяти років до дня виборів,вища,Президент України,безпартійний,проживає в місті Києві,cамовисування,https://public.nazk.gov.ua/declaration/539d7fe3-7cfa-4d88-8a97-070b0841f56e
Ригованов Руслан Олександрович,presidential2019,05.02.2019,216,31.07.1974,м. Горлівка Донецької області,громадянин України,проживає в Україні протягом останніх десяти років до дня виборів,вища,"виконуючий обов'язки начальника, державне підприємство ""Севастопольський морський рибний порт""",безпартійний,проживає в місті Горлівка Донецької області,cамовисування,https://public.nazk.gov.ua/declaration/70a23b43-36d7-457c-8f56-acb62287f56c
Садовий Андрій Іванович,presidential2019,08.01.2019,32,19.08.1968,м. Львів,громадянин України,проживає в Україні протягом останніх десяти років до дня виборів,вища,Львівський міський голова,"член Політичної партії ""Об’єднання ""САМОПОМІЧ""",проживає в місті Львові,"Політична партія ""Об’єднання ""САМОПОМІЧ""",https://public.nazk.gov.ua/declaration/aca0f1d9-8dd6-430b-ad91-e7f2ce623afe
Скоцик Віталій Євстафійович,presidential2019,08.01.2019,"31, 301",15.03.1972,с. Симонів Гощанського району Рівненської області,громадянин України,проживає в Україні протягом останніх десяти років до дня виборів,вища,"Голова, ГРОМАДСЬКА ОРГАНІЗАЦІЯ ""АГРАРНА ПЛАТФОРМА ВІТАЛІЯ СКОЦИКА""",безпартійний,проживає в місті Києві,cамовисування,https://public.nazk.gov.ua/declaration/db6a5853-ef83-43c9-a53a-f9d1f9dee4d2
Смешко Ігор Петрович,presidential2019,30.01.2019,151,17.08.1955,м. Христинівка Черкаської області,громадянин України,проживає в Україні протягом останніх десяти років до дня виборів,вища,"професор кафедри міжнародних медіакомунікацій та комунікативних технологій, Інститут міжнародних відносин Київського національного університету імені Тараса Шевченка","член Політичної партії ""Сила і Честь""",проживає в місті Києві,cамовисування,https://public.nazk.gov.ua/declaration/19f470d6-c356-4fc2-b358-537a5b58b6cf
Соловйов Олександр Миколайович,presidential2019,08.02.2019,277,13.07.1973,м. Красноармійськ Донецької області,громадянин України,проживає в Україні протягом останніх десяти років до дня виборів,вища,"заступник директора, ТОВ ""ЮРИДИЧНА КОМПАНІЯ ""ФЕБ""","член Політичної партії ""РОЗУМНА СИЛА""",проживає в місті Києві,"Політична партія ""РОЗУМНА СИЛА""",https://public.nazk.gov.ua/declaration/61fea75c-5967-4668-8d49-6136ce3fd604
Тарута Сергій Олексійович,presidential2019,29.01.2019,"138, 301",23.07.1955,с. Виноградне Новоазовського району Донецької області,громадянин України,проживає в Україні протягом останніх десяти років до дня виборів,вища,народний депутат України,"член ПОЛІТИЧНОЇ ПАРТІЇ ""ОСНОВА""",проживає в місті Маріуполь Донецької області,"ПОЛІТИЧНА ПАРТІЯ ""ОСНОВА""",https://public.nazk.gov.ua/declaration/84dfdd51-6328-4c39-883c-e81a702e300d
Тимошенко Юлія Володимирівна,presidential2019,25.01.2019,106,27.11.1960,м. Дніпропетровськ,громадянка України,проживає в Україні протягом останніх десяти років до дня виборів,вища,"народний депутат України, Голова депутатської фракції політичної партії ""Всеукраїнське об'єднання ""Батьківщина"" у Верховній Раді України, член Комітету Верховної Ради України з питань прав людини, національних меншин і міжнаціональних відносин","член політичної партії Всеукраїнське об’єднання ""Батьківщина""",проживає в смт Козин Обухівського району Київської області,"політична партія Всеукраїнське об’єднання ""Батьківщина""",https://public.nazk.gov.ua/declaration/e2d63801-bbe3-474e-a695-920f1d455cf0
Тимошенко Юрій Володимирович,presidential2019,06.02.2019,229,03.04.1961,с. Дивне Апанасенковського району Ставропольського краю,громадянин України,проживає в Україні протягом останніх десяти років до дня виборів,професійно-технічна,"народний депутат України, член Комітету Верховної Ради України з питань запобігання і протидії корупції",безпартійний,проживає в місті Коломия Івано-Франківської області,cамовисування,https://public.nazk.gov.ua/declaration/808f3285-28be-4a0c-8b0d-510f56a5ce26
Шевченко Ігор Анатолійович,presidential2019,04.01.2019,14,10.01.1971,м. Олександрія Кіровоградської області,громадянин України,проживає в Україні протягом останніх десяти років до дня виборів,вища,"президент, Благодійна організація ""Успішна Україна""",безпартійний,проживає в місті Києві,cамовисування,https://public.nazk.gov.ua/declaration/19dfd5d5-ad6b-40ed-8598-ec78c0202a74
Шевченко Олександр Леонідович,presidential2019,21.01.2019,82,08.04.1971,м. Коломия Івано-Франківської області,громадянин України,проживає в Україні протягом останніх десяти років до дня виборів,вища,народний депутат України,"член ПОЛІТИЧНОЇ ПАРТІЇ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",проживає в селі Поляниця міста Яремче Івано-Франківської області,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",https://public.nazk.gov.ua/declaration/c2ef3269-5971-409d-8241-9386c58e4695
Базилюк Олександр Філімонович,presidential1999,12.08.1999,168,15.03.1942,"м. Чапаєвськ, Самарська область, СРСР",громадянин України,,вища,голова Слов’янської партії,член Слов’янської партії,проживає в м. Донецьку,Слов’янська партія,http://www.cvk.gov.ua/pls/vp1999/WEBVP1.WEBPROC16?kodvib=100&kodkand=15
Вітренко Наталія Михайлівна,presidential1999,29.07.1999,132,28.12.1951,"Київ, Українська РСР, СРСР",громадянка України,,вища,"народний депутат України, доктор економічних наук, академік Академії будівництва України, академік Української академії економічної кібернетики, доцент",член Прогресивної соціалістичної партії України,проживає в м.Києві,Прогресивна соціалістична партія України,http://www.cvk.gov.ua/pls/vp1999/WEBVP1.WEBPROC16?kodvib=100&kodkand=10
Габер Микола Олександрович,presidential1999,10.08.1999,159,28.10.1960,"селище Великозименове, Великомихайлівський район, Одеська область, УРСР",громадянин України,,вища,народний депутат України,член Патріотичної партії України,проживає в м. Києві,Патріотична партія України,http://www.cvk.gov.ua/pls/vp1999/WEBVP1.WEBPROC16?kodvib=100&kodkand=17
Кармазін Юрій Анатолійович,presidential1999,17.08.1999,182,21.09.1957,"Звенигородка, Черкаська область",громадянин України,,вища,"народний депутат України, голова комітету Верховної Ради України з питань законодавчого забезпечення правоохоронної діяльності та боротьби з організованою злочинністю і корупцією, Заслужений юрист України",член Партії захисників Вітчизни,проживає в м. Одесі,Партія захисників Вітчизни,http://www.cvk.gov.ua/pls/vp1999/WEBVP1.WEBPROC16?kodvib=100&kodkand=20
Кононов Віталій Миколайович,presidential1999,12.08.1999,169,02.04.1950,"Кобулеті, Аджарська АРСР, Грузинська РСР, СРСР",громадянин України,,вища,народний депутат України,член Партії Зелених України,проживає в м. Києві,Партія Зелених України,http://www.cvk.gov.ua/pls/vp1999/WEBVP1.WEBPROC16?kodvib=100&kodkand=19
Костенко Юрій Іванович,presidential1999,29.07.1999,131,12.06.1951,"Нова Ободівка, Тростянецький район, Вінницька область, Українська РСР СРСР",громадянин України,,вища,"народний депутат України, заступник Голови Комітету з питань паливно-енергетичного комплексу, ядерної політики, ядерної безпеки Верховної Ради України",член Народного Руху України,проживає в м.Києві,cамовисування,http://www.cvk.gov.ua/pls/vp1999/WEBVP1.WEBPROC16?kodvib=100&kodkand=6
Кучма Леонід Данилович,presidential1999,30.06.1999,102,09.08.1938,"Чайкине, Новгород-Сіверський район, Чернігівська область, Українська РСР, СРСР",громадянин України,,вища,Президент України,безпартійний,проживає в м.Києві,cамовисування,http://www.cvk.gov.ua/pls/vp1999/WEBVP1.WEBPROC16?kodvib=100&kodkand=1
Марчук Євген Кирилович,presidential1999,09.07.1999,109,28.01.1941,"Долинівка, Одеська (нині Кіровоградська область), УРСР, СРСР",громадянин України,,вища,"народний депутат України, Голова Комітету Верховної Ради України з питань соціальної політики та праці",безпартійний,проживає в м.Києві,"Виборчий блок партій ""Наш Президент – Євген Марчук""",http://www.cvk.gov.ua/pls/vp1999/WEBVP1.WEBPROC16?kodvib=100&kodkand=12
Мороз Олександр Олександрович,presidential1999,26.07.1999,124,29.02.1944,"Буда (Таращанський район), Київська область, Українська РСР, СРСР",громадянин України,,вища,Голова Комітету Верховної Ради України з питань агропромислового комплексу та земельних відносин,член Соціалістичної партії України,проживає в м. Києві,Соціалістична партія України,http://www.cvk.gov.ua/pls/vp1999/WEBVP1.WEBPROC16?kodvib=100&kodkand=5
Олійник Володимир Миколайович,presidential1999,30.07.1999,137,16.04.1957,"село Бузівка, Жашківський район, Черкаська область, Українська РСР, СРСР",громадянин України,,вища,Черкаський міський голова,безпартійний,проживає в м. Черкаси,cамовисування,http://www.cvk.gov.ua/pls/vp1999/WEBVP1.WEBPROC16?kodvib=100&kodkand=11
Онопенко Василь Васильович,presidential1999,07.08.1999,156,10.04.1949,"с. Великі Крушлинці, Вінницька область, Українська РСР, СРСР",громадянин України,,вища,народний депутат України,член Української соціал-демократичної партії,проживає в м. Києві,Українська соціал-демократична партія,http://www.cvk.gov.ua/pls/vp1999/WEBVP1.WEBPROC16?kodvib=100&kodkand=7
Ржавський Олександр Миколайович,presidential1999,10.08.1999,160,30.01.1959,Краматорськ,громадянин України,,вища,народний депутат України,"член Всеукраїнського політичного об’єднання ""Єдина Родина""",проживає в м.Києві,"Всеукраїнське політичне об’єднання ""Єдина Родина""",http://www.cvk.gov.ua/pls/vp1999/WEBVP1.WEBPROC16?kodvib=100&kodkand=9
Симоненко Петро Миколайович,presidential1999,30.06.1999,103,01.08.1952,"Сталіно, Українська РСР,  СРСР",громадянин України,,вища,народний депутат України,член Комуністичної партії України,проживає в м. Києві,Комуністична партія України,http://www.cvk.gov.ua/pls/vp1999/WEBVP1.WEBPROC16?kodvib=100&kodkand=3
Ткаченко Олександр Миколайович,presidential1999,15.07.1999,116,07.03.1939,"Шпола, Київська область, Українська РСР, СРСР",громадянин України,,вища,Голова Верховної Ради України,член Селянської партії України,проживає в м. Києві,Селянська партія України,http://www.cvk.gov.ua/pls/vp1999/WEBVP1.WEBPROC16?kodvib=100&kodkand=21
Удовенко Геннадій Йосипович,presidential1999,28.07.1999,127,22.06.1931,"Кривий Ріг, Українська Соціалістична Радянська Республіка, СРСР",громадянин України,,вища,народний депутат України,член Народного Руху України,проживає в м.Києві,Народний Рух України,http://www.cvk.gov.ua/pls/vp1999/WEBVP1.WEBPROC16?kodvib=100&kodkand=2
